Group;ACCESSION
admixed;191RXXIII24
group2;391_C12
admixed;A219
admixed;A9
group2;ALICECOL
group1;ALITOP
group1;ALMA
admixed;AMARILLO_DE_AGOSTO
admixed;ANG_MARZOCCHELLA
group1;ANTONY
group1;AZURITE
admixed;BEIJING
admixed;BELLA_DI_CESENA
admixed;BELLA_DI_ROMA
admixed;BIANCA_DI_SAN_TOME
group1;BIG BANG
group1;BIG_HAVEN
group1;BIG_TOP
group2;BLAZING_STAR
group2;BO02009003
group2;BO02009035
group2;BO02009066
group1;BO03001001
group1;BO03006008
group1;BO03008001
admixed;BO04013002
admixed;BO04013014
admixed;BO04015011
admixed;BO04015012
admixed;BO04015017
group2;BO04016176
group2;BO04018013
admixed;BO04018016
admixed;BO04019038
admixed;BO04019078
admixed;BO04019115
group2;BO04041014
group1;BO04047007
group1;BO04047106
admixed;BO05003063
admixed;BO05003073
group1;BO05020077
group2;BO05021034
group1;BO05027036
group1;BO05029010
admixed;BO05030133
group2;BO05041018
group1;BO06006067
group1;BO06006070
group1;BO06021059
group1;BO06021138
group1;BO06021844
group2;BO06025033
group1;BO06028004
admixed;BO07010013
admixed;BO07010087
group2;BO07014206
group2;BO07030011
group2;BO07047063
group2;BO07047070
group2;BO07050045
group1;BO09001032
group1;BO09001134
admixed;BO09040003
admixed;BO84033009
group2;BO88008037
group2;BO88008091
admixed;BO88027021
group2;BO89009025
group1;BO89010005
admixed;BO94007003
group2;BO94042003
group2;BO95048001
group1;BO96025035
group1;BO98003034
group1;BO99003001
group2;BO99004003
group2;BO99014002
group2;BO99042012
admixed;BOLERO
admixed;BOLINA
group2;BOLIVIA
admixed;BORGIA
admixed;BOTTO
admixed;CAROTA
group2;CHARLES_INGOULF
admixed;CONTENDER
group2;CORINDON
group1;CRISTINA
group1;DIAMOND_RAY
admixed;Dixired
admixed;DOURADO
group1;DULCIS1
group1;EARLY_TOP
group1;EARLY_ZEE
admixed;ELBERTITA
group2;ELEGANT_LADY
group1;ELIOS
admixed;FEI CHENG BAI LI
admixed;FUOCO_DI_ROMAGNA
group2;GLADIS
admixed;GLOHAVEN
group1;GRENAT
group1;H1-3ZAB
group1;HONEY_GLO
group1;HONEY_KIST
group1;HONEY_ROYAL
group2;IFF_1443
group1;IFF_1445
group2;IFF_1450
group1;IFF1434
group2;IFF691
admixed;IRIDE
group2;KAWEAH
group2;KEWINA
group2;KV930386
admixed;LUCREZIA
group2;LUISA_BERSELLI
admixed;MARIA_BIANCA
admixed;MARIA_DELIZIA
group1;MAURA
admixed;MAYCREST
admixed;MERRIL_GEM_FREE
admixed;MICHELINI
admixed;NADIA
admixed;NJ82
admixed;NJC_113
admixed;OroA
group1;PACIFIC STAR
admixed;PERCOCA_RDL
group2;PESCA A CUORE CAPOZZI
admixed;PIERI_81
group1;PIT_STOP
group2;PULCRA
admixed;QUETTA
group1;REBUS_28
group2;REDHAVEN
group1;RICH_LADY
admixed;RISING_STAR
group1;RITA_STAR
group1;ROMAGNA_3000
group1;ROMAGNA_BIG
group1;ROMAGNA_BRIGHT
group1;Romagna_Gold
admixed;ROSA_DEL_WEST
group2;ROSSA_DI_TRENTI
group1;ROYAL SUMMER
group1;ROYAL TIME
group1;ROYAL_ESTATE
group1;ROYAL_GLORY
group1;ROYAL_JIM
group1;ROYAL_MAJESTIC
group1;ROYAL_PRIDE
group2;RUBIA
group1;RUBY_RICH
group2;S6699
group2;SAGITTARIA
admixed;SANT_ANNA_BALD
admixed;SENTRY
admixed;SOLE_2
admixed;SOLEADA
group2;SUGAR_TIME
group2;SUMMER_RICH
group2;SW_x_WG
group1;TARDI_GOLD
group1;TASTY FREE
group1;TURQUOISE
admixed;VESPIGNANI2
group1;VISTARICH
admixed;XIA_HUI
group1;ZEE_DIAMOND
group2;ZEE_LADY
group1;ZEPHIR
